USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1  23044 14472 ?        Ss   15:56   0:01 /sbin/init splash
root         378  0.0  0.2  67248 19272 ?        S<s  15:56   0:00 /usr/lib/systemd/systemd-journald
root         445  0.0  0.1  32056 10180 ?        Ss   15:56   0:00 /usr/lib/systemd/systemd-udevd
root         446  0.0  0.0      0     0 ?        S    15:56   0:06 [irq/16-vmwgfx]
root         447  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-ttm]
root         495  0.0  0.0      0     0 ?        S    15:56   0:00 [psimon]
systemd+     646  0.0  0.0  17572  7776 ?        Ss   15:56   0:01 /usr/lib/systemd/systemd-oomd
systemd+     656  0.0  0.1  21724 13804 ?        Ss   15:56   0:00 /usr/lib/systemd/systemd-resolved
systemd+     663  0.0  0.0  91060  7996 ?        Ssl  15:56   0:00 /usr/lib/systemd/systemd-timesyncd
root         794  0.0  0.1  65156 12796 ?        Ss   15:56   0:00 /usr/bin/VGAuthService
root         803  0.2  0.1 327560 10212 ?        Ssl  15:56   0:21 /usr/bin/vmtoolsd
root         859  0.0  0.0      0     0 ?        S    15:56   0:01 [irq/58-vmw_vmci]
root         860  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/59-vmw_vmci]
avahi       1216  0.0  0.0   8676  4712 ?        Ss   15:56   0:00 avahi-daemon: running [ubuntuvm.local]
root        1217  0.0  0.0  13424  6756 ?        Ss   15:56   0:00 /usr/libexec/bluetooth/bluetoothd
message+    1218  0.0  0.0  12264  7620 ?        Ss   15:56   0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1221  0.0  0.2 439092 16804 ?        Ssl  15:56   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1227  0.0  0.1 400712 13588 ?        Ssl  15:56   0:00 /usr/lib/polkit-1/polkitd --no-debug
root        1228  0.0  0.1 322492  8108 ?        Ssl  15:56   0:00 /usr/libexec/power-profiles-daemon
root        1234  0.0  0.4 1997208 36064 ?       Ssl  15:56   0:01 /usr/lib/snapd/snapd
root        1243  0.0  0.1 322368  8372 ?        Ssl  15:56   0:00 /usr/libexec/accounts-daemon
root        1246  0.0  0.0  18100  2960 ?        Ss   15:56   0:00 /usr/sbin/cron -f -P
root        1250  0.0  0.0 318692  7332 ?        Ssl  15:56   0:00 /usr/libexec/switcheroo-control
root        1254  0.0  0.1  18168  9208 ?        Ss   15:56   0:00 /usr/lib/systemd/systemd-logind
root        1260  0.0  0.1 469360 14304 ?        Ssl  15:56   0:00 /usr/libexec/udisks2/udisksd
syslog      1280  0.0  0.0 222572  7156 ?        Ssl  15:56   0:00 /usr/sbin/rsyslogd -n -iNONE
avahi       1291  0.0  0.0   8488  1540 ?        S    15:56   0:00 avahi-daemon: chroot helper
root        1296  0.0  0.2 346056 20276 ?        Ssl  15:56   0:00 /usr/sbin/NetworkManager --no-daemon
root        1307  0.0  0.0  17392  6488 ?        Ss   15:56   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1390  0.0  0.1 392116 13044 ?        Ssl  15:56   0:00 /usr/sbin/ModemManager
root        1675  0.0  0.1  82460 13792 ?        S    15:56   0:08 /usr/sbin/vmtoolsd
